ProjectID,DepartmentID,ProjectName,ProjectStatus,Budget,Stakeholder
74474,329,Reduced fresh-thinking initiative,Inactive,781973,Ray Moon
19484,699,Profound well-modulated hardware,Active,501694,Gary Burns
3804,763,Customizable solution-oriented contingency,Active,429339,Nicholas Robinson
16552,357,Devolved real-time leverage,Inactive,573846,Tyler Hartman
90279,711,Multi-tiered reciprocal adapter,Completed,99679,Sierra Carrillo
486,985,Optional bi-directional budgetary management,Inactive,984201,Cathy Blair
5485,645,Polarized demand-driven ability,Completed,400363,Angela Bruce
79828,271,Visionary real-time throughput,Inactive,94608,Stephen Villegas
8671,28,Robust motivating firmware,Completed,309382,Regina James
8194,776,Intuitive impactful service-desk,Completed,179402,Ashley Young
69755,527,Up-sized encompassing open architecture,Completed,532653,Ashley Edwards
17854,758,Extended incremental project,Active,240209,Mary Bird
35021,802,Innovative composite service-desk,Completed,736485,Jared Cross
68660,254,Profound composite Local Area Network,Active,739220,Alison Nelson
20744,271,Business-focused hybrid archive,Active,292333,David Young
2020,427,Networked explicit task-force,Active,93561,Maria Robertson
402,320,Polarized client-driven moratorium,Completed,697227,Jeffery Williams
82666,383,Automated human-resource application,Active,943417,Anna Walker
53274,672,Innovative high-level forecast,Active,726182,Steven Galloway
90426,28,Customer-focused tertiary concept,Active,737406,Daniel Williams
54995,156,Front-line reciprocal core,Completed,446597,Amanda Gutierrez
57966,711,Enterprise-wide stable application,Inactive,453368,Alexandra Gray
1519,997,Networked executive system engine,Completed,925623,Jennifer Olson
99057,616,Optional uniform matrix,Active,162239,Sherry Medina
62602,997,Organic secondary open system,Inactive,821942,Chloe Davis
72481,527,Optional interactive system engine,Inactive,714012,Michael Sims
68608,81,Public-key attitude-oriented hardware,Inactive,877531,John Bailey
64698,179,Visionary bifurcated groupware,Active,845580,Jason Kelley
71714,527,Organized zero-defect moratorium,Active,708539,Thomas Gibson
2897,775,Phased human-resource project,Completed,957151,Kenneth Lopez
76479,210,Phased motivating secured line,Inactive,21745,Jessica Ortega
50013,127,Multi-layered responsive extranet,Completed,397839,Jessica Anderson
63960,320,Exclusive web-enabled alliance,Completed,537753,Jennifer Jordan
83077,666,Diverse scalable complexity,Completed,905669,Haley Gillespie
6997,751,Up-sized mobile orchestration,Active,407958,Dr. Regina Harris
